"altTagText","corporateCode","get_directions_url","id","latitude","longitude","type","url"
"Rite Aid at 841 South State Road Davison, MI","04439","https://maps.google.com/maps?cid=18246773229035766371",1254585,43.020707,-83.516821,"main",""
"Rite Aid at 22521 Michigan Avenue Dearborn, MI","04543","https://maps.google.com/maps?cid=993302089774631935",1252054,42.303171,-83.2523893,"main",""
"Rite Aid at 5650 Schaefer Road Dearborn, MI","04520","https://maps.google.com/maps?cid=1251505682754604305",1253800,42.3303884,-83.1759144,"main",""
"Rite Aid at 13939 Livernois Avenue Detroit, MI","04498","https://maps.google.com/maps?cid=9824869399560199974",1251082,42.390967,-83.140427,"main",""
"Rite Aid at 17170 Harper Avenue Detroit, MI","04355","https://maps.google.com/maps?cid=4247158890663725517",1251494,42.416807,-82.935083,"main",""
"Rite Aid at 18430 Fenkell Street Detroit, MI","04512","https://maps.google.com/maps?cid=60775432247607886",1251622,42.4013154,-83.2227631,"main",""
"Rite Aid at 1900 East 8 Mile Road Detroit, MI","04526","https://maps.google.com/maps?cid=16415628096777785412",1251658,42.446443,-83.0827041,"main",""
"Rite Aid at 19150 Wyoming Street Detroit, MI","04694","https://maps.google.com/maps?cid=17017295560713543765",1251682,42.432159,-83.160669,"main",""
"Rite Aid at 3456 East Jefferson Avenue Detroit, MI","04485","https://maps.google.com/maps?cid=16682099027256205693",1252838,42.3423782,-83.0114029,"main",""
"Rite Aid at 4612 Woodward Avenue Detroit, MI","04595","https://maps.google.com/maps?cid=4122732325701780396",1253410,42.354098,-83.062084,"main",""
"Rite Aid at 7843 West Vernor Highway Detroit, MI","04266","https://maps.google.com/maps?cid=1069592796007160617",1254418,42.311486,-83.126517,"main",""
"Rite Aid at 13157 1/2 Schavey Road Dewitt, MI","01483","https://maps.google.com/maps?cid=12912075191004154641",1250976,42.8245818,-84.5863875,"main",""
"Rite Aid at 102 State Road Dowagiac, MI","04401","https://maps.google.com/maps?cid=9264244807777200813",1250431,41.9846045091945,-86.1235655919518,"main",""
"Rite Aid at 8531 Lansing Highway Durand, MI","03312","https://maps.google.com/maps?cid=9158023350275258795",1254612,42.9258339,-83.9968976,"main",""
"Rite Aid at 250 South Lake St East Jordan, MI","02504","https://maps.google.com/maps?cid=4025811720680793934",1252246,45.150514,-85.142027,"main",""
"Rite Aid at 111 E Saginaw Street East Lansing, MI","04011","https://maps.google.com/maps?cid=13917385481609670230",1250614,42.746397,-84.483099,"main",""
"Rite Aid at 2489 East Lake Lansing Road East Lansing, MI","01611","https://maps.google.com/maps?cid=9312937170476214331",1252222,42.754845,-84.440968,"main",""
"Rite Aid at 22600 Gratiot Avenue Eastpointe, MI","04490","https://maps.google.com/maps?cid=5242077602448045224",1252062,42.4640462242463,-82.9574900865555,"main",""
"Rite Aid at 715 South Main Street Eaton Rapids, MI","04600","https://maps.google.com/maps?cid=2956839500934091761",1254280,42.505582,-84.655649,"main",""
"Rite Aid at 25922 Middlebelt Road Farmington Hills, MI","04548","https://maps.google.com/maps?cid=9980472957661772153",1252294,42.4846836991366,-83.3369526911731,"main",""
